,Match,ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax,ParasiteCorrectedName.updated,close,nonclose,vector,intermediate,ParasiteReportedName,HasBinomialName,NameObservations,FLAG,NameID,NameCitation,ParType,ParPhylum,ParClass,ParOrder,ParFamily,StrainorSubsps
1,Acanthocephalus anguillae,Acanthocephalus anguillae,NA,0,,-1,3,-1,1,,VR,42765,,,,0,Acanthocephalus anguillae      ,1410,Acanthocephalus anguillae      ,57,,Kennedy and Moriarty 1987,,VR,42765,,,,0,0,1,No,,,,Acanthocephalus anguillae,0,0,0,1,Acanthocephalus anguillae,yes,valid name in NCBI,,NCBI 185726,,Helminth,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,
2,Acanthocephalus ranae,Acanthocephalus ranae,NA,0,,-1,3,-1,2,,VR,42765,,,,0,Acanthocephalus ranae      ,431,Acanthocephalus ranae      ,23,,"Heckmann et al., 2011",,VR,42765,,,,0,0,1,No,,,,Acanthocephalus ranae,0,0,0,1,Acanthocephalus ranae,yes,valid name in papers,,Schrank 1788,"Schrank, F. v. P.: Verzeichnis der bisher hinl?nglich bekannten EingeweidewÅrmer, nebst einer Abhandlung Åber ihre Anverwandtschaften, 116 S. MÅnchen 1788.",Helminth,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,
3,Acanthocheilonema dracunculoides,Acanthocheilonema dracunculoides,NA,0,,-1,1,-1,2,,VR,42765,,,,,Acanthocheilonema dracunculoides      ,217,Acanthocheilonema dracunculoides      ,13,H: dog,"Casiraghi et al., 2006",,VR,42765,,,,0,0,1,No,,,,Acanthocheilonema dracunculoides,0,0,0,1,Acanthocheilonema dracunculoides,yes,valid name in NCBI,,NCBI 328821,,Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
4,Acanthocheilonema procyonis,Acanthocheilonema procyonis,NA,0,,-1,1,-1,3,,VR,42765,,,,,Acanthocheilonema procyonis      ,52,Acanthocheilonema procyonis      ,2,H: Raccoons ,"Rabinowitz et al., 1985",,VR,42765,,,,1,0,1,No,,,,Acanthocheilonema procyonis,0,0,1,1,Dipetalonema procyonis,yes,"valid name in GBIF, Acanthocheilonema was a subgneus in some notations",,GBIF ID 7029663,"Smith, J. (1980). Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the Raccoon.?The Journal of Parasitology,?66(2), 333-336. doi:1. Retrieved from http://www.jstor.org/stable/3280828",Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
8,Acanthocheilonema reconditum,Acanthocheilonema reconditum,NA,0,,2,1,-1,2,,VR,42765,,,,,Acanthocheilonema reconditum      ,404,Acanthocheilonema reconditum      ,39,H: Fox to Dog,"Brianti et al., 2012",NEED,VR,42765,,,,1,0,1,No,,,,Acanthocheilonema reconditum,0,0,0,1,Acanthocheilonema reconditum,yes,valid name in NCBI,,NCBI 114234,,Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
9,Acanthocheilonema spirocauda,Dipetalonema spirocauda,NA,0,,-1,3,-1,2,,VR,42720,,,,,Dipetalonema spirocauda      ,137,Dipetalonema spirocauda      ,9,harbor seals,Dunn and Wolke 1976,,VR,42720,,,,NA,0,0,Yes,"Smith, Jeffery L. ""Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the raccoon."" The Journal of parasitology(1980): 333-336.",Acanthocheilonema spirocauda,Acanthocheilonema spirocauda,Acanthocheilonema spirocauda,0,0,1,1,Dipetalonema spirocauda,yes,"invalid genus, this name is valid in NCBI",,NCBI 1285935,"Papadopoulos, E., Loukopoulos, P., Komnenou, A., Androukaki, E., & Karamanlidis, A. A. (2010). First report of Acanthocheilonema spirocauda in the Mediterranean monk seal (Monachus monachus).?Journal of wildlife diseases,?46(2), 570-573.",Helminth,Nematoda,Secernentea,Spirurida,Onchocercidae,
25,Aelurostrongylus abstrusus,Aelurostrongylus abstrusus,NA,0,,-1,2,-1,1,,VR,42765,,,,,Aelurostrongylus abstrusus      ,1110,Aelurostrongylus abstrusus      ,162,H: Cat,"Taubert et al., 2009",,Vr,42765,,,,1,0,1,No,,,,Aelurostrongylus abstrusus,0,0,0,1,Aelurostrongylus abstusus,yes,valid name in NCBI,,NCBI 321389,,Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
27,Aelurostrongylus falciformis,Aelurostrongylus falciformis,NA,0,,-1,1,-1,3,,VR,42765,,,,,Aelurostrongylus falciformis      ,58,Aelurostrongylus falciformis      ,1,H: Badger,"Davidson et al., 2006",,VR,42765,,,,1,0,1,No,,,,Aelurostrongylus falciformis,0,0,0,1,Aelurostrongylus falciformis,yes,valid name in papers,,Al-Sabi et al. 2010,"Al-Sabi, M. N., Deplazes, P., Webster, P., Willesen, J. L., Davidson, R. K., & Kapel, C. M. (2010). PCR detection of Angiostrongylus vasorum in faecal samples of dogs and foxes. Parasitology research, 107(1), 135-140.",Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
28,Aelurostrongylus pridhami,Aelurostrongylus pridhami,NA,0,,-1,2,-1,3,,VR,42765,,,,,Aelurostrongylus pridhami      ,45,Aelurostrongylus pridhami      ,3,H: badger,"Davidson et al., 2006",,VR,42765,,,,1,0,1,No,,,,Aelurostrongylus pridhami,0,0,0,1,Aelurostrongylus pridhami,yes,valid name in papers,,Torres et al. 2001,"Torres, J., Miquel, J., & Motj?, M. (2001). Helminth parasites of the eurasian badger (Meles meles L.) in Spain: a biogeographic approach. Parasitology Research, 87(4), 259-263.",Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
31,Agriostomum cursoni,Agriostomum cursoni,NA,0,,-1,3,-1,3,,VR,42762,,,,,Agriostomum cursoni      ,11,Agriostomum cursoni      ,0,,"Reinecke et al., 1988",,VR,42762,,,,1,0,1,No,,,,Agriostomum cursoni,0,1,0,0,Agriostomum cursoni,yes,valid name in GBIF,,GBIF ID 7034507,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
32,Agriostomum equidentatum,Agriostomum equidentatum,NA,0,,,,-1,3,,VR,42762,,,,,Agriostomum equidentatum      ,26,Agriostomum equidentatum      ,0,,Horak 1981,,VR,42762,,,,1,0,1,No,,,,Agriostomum equidentatum,0,1,0,0,Agriostomum equidentatum,yes,valid name in GBIF,,GBIF ID 7034506,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
33,Agriostomum gorgonis,Agriostomum gorgonis,NA,0,,,,-1,3,,VR,42762,,,,,Agriostomum gorgonis      ,36,Agriostomum gorgonis      ,1,hook worm; wildebeast,"Horak et al., 1983",,VR,42762,,,,1,0,1,No,,,,Agriostomum gorgonis,0,1,0,0,Agriostomum gorgonis,yes,valid name in GBIF,,GBIF ID 7034508,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
35,Alaria alata,Alaria alata,NA,0,,0,1,1,1,,VR,42762,,,,,Alaria alata      ,2510,Alaria alata      ,77,Host: Human Cat Dog Pig Snail Vehicle:crustaceans,"Riehn et al., 2010",,VR,42762,,,,0,0,1,No,,,,Alaria alata,0,1,0,1,Alaria alata,yes,valid name in NCBI,,NCBI 138590,,Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
36,Alaria americana,Alaria americana,NA,0,,2,1,1,1,,VR,42762,,,,,Alaria americana      ,965,Alaria americana      ,20,Digestive trematoda,"Fernandes et al., 1976",,VR,42762,,,,0,0,1,No,,,,Alaria americana,0,1,0,1,Alaria americana,yes,valid in papers,,McDonald et al. 1994,"McDonald, H. R., Kazacos, K. R., Schatz, H., & Johnson, R. N. (1994). Two cases of intraocular infection with Alaria mesocercaria (Trematoda). American journal of ophthalmology, 117(4), 447-455.",Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
37,Alaria arisaemoides,Alaria arisaemoides,NA,0,,2,2,-1,2,,VR,42762,,,,,Alaria arisaemoides      ,394,Alaria arisaemoides      ,4,Dt; dogs,Augustine and Uribe 1927,NEED,VR,42762,,,,0,0,1,No,,,,Alaria arisaemoides,0,1,0,1,Alaria arisaemoides,yes,valid in papers,,Johnson 1970,"Johnson, A. D. (1970). Alaria mustelae: description of mesocercaria and key to related species. Transactions of the American Microscopical Society, 250-253.",Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
38,Alaria canis,Alaria canis,NA,0,,2,1,-1,1,,VR,42762,,,,,Alaria canis      ,1040,Alaria canis      ,50,Dt; dogs,Rausch and Williamson 1959,,VR,42762,,,,0,0,1,No,,,,Alaria canis,0,1,0,1,Alaria canis,yes,valid in papers,,Larue and Fallis 1936,"Larue, G. R., & Fallis, A. M. (1936). Morphological study of Alaria canis n. sp.(Trematoda: Alariidae), a trematode parasite of the dog. Transactions of the American Microscopical Society, 55(3), 340-351.",Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
39,Alaria marcianae,Alaria marcianae,NA,0,,2,2,-1,2,,VR,42762,,,,,Alaria marcianae      ,286,Alaria marcianae      ,31,Dt;  ,"Pence et al., 1988",,VR,42762,,,,0,0,1,No,,,,Alaria marcianae,0,1,0,1,Alaria marcianiae,yes,valid name in NCBI,,NCBI 1684801,,Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
42,Alaria mustelae,Alaria mustelae,NA,0,,2,2,-1,1,,VR,42762,,,,,Alaria mustelae      ,1590,Alaria mustelae      ,10,Dt;,"Locke et al., 2011",,VR,42762,,,,0,0,1,No,,,,Alaria mustelae,0,1,0,1,Alaria mustelae,yes,valid name in NCBI,,NCBI 669500,,Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
43,Alaria taxideae,Alaria taxideae,NA,0,,2,2,-1,3,,VR,42762,,,,,Alaria taxideae      ,51,Alaria taxideae      ,1,Dt; ,"Poole et al., 1983",,VR,42762,,,,0,0,1,No,,,,Alaria taxideae,0,1,0,1,Alaria taxideae,yes,valid name in NCBI,,NCBI 1008877,,Helminth,Platyhelminthes,Trematoda,Strigeidida,Diplostomatidae,
99,Anatrichosoma cynamolgi,Anatrichosoma cynamolgi,NA,0,,,,-1,3,,VR,42761,,,,,Anatrichosoma cynamolgi      ,54,Anatrichosoma cynamolgi      ,1,monkey ,Conrad and Wong 1973,,VR,42761,,,,1,0,1,No,,,,Anatrichosoma cynamolgi,0,1,0,0,Anatrichosoma cynamolgi,yes,valid in papers,,Chitwood 1958,"Chitwood, M. B. (1958). A redescription of Anatrichosoma cynamolgi Smith and Chitwood, 1954. In Proc. Helm. Soc. Wash (Vol. 25, No. 2, pp. 112-117).",Helminth,Nematoda,Enoplea,Trichocephalida,Trichuridae,
100,Anatrichosoma ixyos,Anatrichosoma ixyos,NA,0,,,,-1,3,,VR,42761,,,,,Anatrichosoma ixyos      ,0,Anatrichosoma ixyos      ,0,,NEED,,VR,42761,,,,1,0,1,No,,,,Anatrichosoma ixyos,0,1,0,0,Anatrichosoma ixyos,yes,found in Smithsonian,,USNM # 1367901,http://collections.si.edu/search/record/nmnhinvertebratezoology 12022203,Helminth,Nematoda,Enoplea,Trichocephalida,Trichuridae,
101,Ancylostoma braziliense,Ancylostoma braziliense,NA,0,,3,1,1,1,,VR,42761,,,,,Ancylostoma braziliense      ,2430,Ancylostoma braziliense      ,71,"""hook worm"" ","Malgor et al., 1996",,VR,42761,,,,1,0,1,No,,,,Ancylostoma braziliense,1,1,0,0,Ancylostoma brazilense,yes,valid name in NCBI,,NCBI 369059,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
103,Ancylostoma caninum,Ancylostoma caninum,NA,0,,3,1,3,1,,VR,42761,,,,,Ancylostoma caninum      ,10900,Ancylostoma caninum      ,881,reservoir: canine ,"Mulvenna et al., 2009",Gideon,VR,42761,,,,1,0,1,No,,,,Ancylostoma caninum,1,1,0,0,A. caninum,yes,valid name in NCBI,,NCBI 29170,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
107,Ancylostoma duodenale,Ancylostoma duodenale,NA,0,,3,1,3,1,,VR,42761,,,"See_notes_in_Nematode_word_doc.__""0""_",,Ancylostoma duodenale      ,8310,Ancylostoma duodenale      ,217,reservoir: human,"Albonico et al., 1998",,VR,42761,,,,1,0,1,No,,,,Ancylostoma duodenale,0,1,0,0,Ancylostoma duodenale,yes,valid name in NCBI,,NCBI 51022,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
108,Ancylostoma kusimaense,Ancylostoma kusimaense,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma kusimaense      ,36,Ancylostoma kusimaense      ,3,,"Sato et al., 1999",,VR,42761,,,,1,0,1,No,,,,Ancylostoma kusimaense,1,1,0,0,Anclyostoma kusimaense,yes,valid in papers,,Yoshida et al. 1974,"Yoshida, Y., Kondo, K., Okada, S., Okamoto, K., Kurimoto, H., Oda, K., & Shimada, Y. (1974). Morphology and life history of Ancylostoma kusimaense Nagayosi, 1955. Jap J Parasitol.",Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
110,Ancylostoma martinezi,Ancylostoma martinezi,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma martinezi      ,60,Ancylostoma martinezi      ,1,,"Casanova et al., 2000",NEED,VR,42761,,,,1,0,1,No,,,,Ancylostoma martinezi,1,1,0,0,Ancylostoma martinezi,yes,valid in papers,,Dudinòk et al. 2005,"Dudinòk, V., & ?pakulovò, M. (2005). A survey of helminth species originally described from the territory of Slovakia supplemented by a list of the type material deposited in the East-Slovakian Museum (V?chodoslovensk? museum) in Ko?ice. Helminthologia, 42, 233-245.",Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
111,Ancylostoma paraduodenale,Ancylostoma paraduodenale,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma paraduodenale      ,28,Ancylostoma paraduodenale      ,0,,"Bjork et al., 2000",,VR,42761,,,,1,0,1,No,,,,Ancylostoma paraduodenale,1,1,0,0,Ancylostoma paraduodenale,yes,valid in papers,,Mukarati,"Mukarati, N. L., Vassilev, G. D., Tagwireyi, W. M., & Tavengwa, M. (2013). Occurrence, prevalence and intensity of internal parasite infections of African lions (Panthera leo) in enclosures at a recreation park in Zimbabwe. Journal of Zoo and Wildlife Medicine, 44(3), 686-693.",Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
112,Ancylostoma pluridentatum,Ancylostoma pluridentatum,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma pluridentatum      ,58,Ancylostoma pluridentatum      ,4,panther,"Dunbar et al., 1994",,VR,42761,,,,1,0,1,No,,,,Ancylostoma pluridentatum,1,1,0,0,Ancylostoma pluridentatum,yes,valid in papers,,Anderson et al. 2003,"Anderson, T. C., Foster, G. W., & Forrester, D. J. (2003). Hookworms of feral cats in Florida. Veterinary Parasitology, 115(1), 19-24.",Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
113,Ancylostoma quadridentata,Ancylostoma quadridentata,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma quadridentata      ,7,Ancylostoma quadridentata      ,0,,"Stuart et al., 1998",,VR,42761,,,,1,0,1,No,,,,Ancylostoma quadridentata,0,1,0,0,Ancylostoma quadridentata,yes,occurs only in one primate paper,,Stuart et al. 1998,"Stuart, M., Pendergast, V., Rumfelt, S., Pierberg, S., Greenspan, L., Glander, K., & Clarke, M. (1998). Parasites of wild howlers (Alouatta spp.). International Journal of Primatology, 19(3), 493-512.",Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
114,Ancylostoma tubaeforme,Ancylostoma tubaeforme,NA,0,,,,-1,1,,VR,42761,,,,,Ancylostoma tubaeforme      ,7450,Ancylostoma tubaeforme      ,74,,Barutzki and Schaper 2003,,VR,42761,,,,1,0,1,No,,,,Ancylostoma tubaeforme,1,1,0,0,Ancylostoma tubaeformae,yes,valid name in NCBI,,NCBI 53327,,Helminth,Nematoda,Secernentea,Rhabditida,Ancylostomatidae,
116,Angiocaulus gubernaculatus,Angiocaulus gubernaculatus,NA,0,,,,-1,3,,VR,42761,,,in_island_foxes,,Angiocaulus gubernaculatus      ,41,Angiocaulus gubernaculatus      ,2,,"Faulkner et al., 2001",,VR,42761,,,,1,0,1,No,,,,Angiocaulus gubernaculatus,0,1,0,1,Angiostrongylus gubernaculatus,yes,valid in papers,,Costa et al. 2003,"Costa, J. O., de Araujo Costa, H. M., & Guimaraes, M. P. (2003). Redescription of Angiostrongylus vasorum (Baillet, 1866) and systematic revision of species assigned to the genera Angiostrongylus Kamensky, 1905 and Angiocaulus Schulz, 1951. Revue de m?decine v?t?rinaire, 154(1), 9-16.",Helminth,Nematoda,Secernentea,Strongylida,Metastrongylidae,
118,Angiostrongylus costaricensis,Angiostrongylus costaricensis,NA,0,,1,1,0,1,,VR,42761,,,,,Angiostrongylus costaricensis      ,1740,Angiostrongylus costaricensis      ,148,Cotton Rat and Slug: first reported in Venezuela,Morera and Cespedes 1971,,VR,42761,,,,1,0,1,No,,,,Angiostrongylus costaricensis,0,1,0,1,Parastrongylus costaricensis,yes,valid name in NCBI,,NCBI 334426,,Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
119,Angiostrongylus vasorum,Angiostrongylus vasorum,NA,0,,-1,1,-1,1,,VR,42761,,,,,Angiostrongylus vasorum      ,1850,Angiostrongylus vasorum      ,328,Canine Heartworm,"Taubert et al., 2009",,VR,42761,,,,1,0,1,No,,,,Angiostrongylus vasorum,0,1,0,1,Angiostrongylus vasorum,yes,valid name in NCBI,,NCBI 321387,,Helminth,Nematoda,Secernentea,Rhabditida,Angiostrongylidae,
120,Anisakis pegreffii,Anisakis pegreffii,NA,0,,1,2,1,2,,VR,42761,,,,,Anisakis pegreffii      ,765,Anisakis pegreffii      ,135,marine mammals and fish: from consuming undercooked fish ,"Romero et al., 2014",,VR,42761,,,,1,0,1,No,,,,Anisakis pegreffii,0,1,0,1,Anisakis similis,yes,valid name in NCBI,,NCBI 303229,,Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
121,Anisakis physeteris,Anisakis physeteris,NA,0,,1,1,1,2,,VR,42761,,,,,Anisakis physeteris      ,690,Anisakis physeteris      ,68,Peru: dolphin and seal lion (5 species of fish consumed by humans),"Romero et al., 2014",,VR,42761,,,,1,0,1,No,,,,Anisakis physeteris,0,1,0,1,Anisakis physeteris,yes,valid name in NCBI,,NCBI 290545,,Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
122,Anisakis simplex,Anisakis simplex,NA,0,,1,2,1,1,,VR,42761,,,,,Anisakis simplex      ,7610,Anisakis simplex      ,16,nematode,Audicana and Kennedy 2008,Gideon,VR,42761,,,,1,0,1,No,,,,Anisakis simplex,0,1,0,1,Anisakis simplex,yes,valid name in NCBI,,NCBI 6269,,Helminth,Nematoda,Secernentea,Ascaridida,Anisakidae,
123,Anophryocephalus arcticensis,Anophryocephalus arcticensis,NA,0,,,,-1,3,,VR,42761,,,,,Anophryocephalus arcticensis      ,13,Anophryocephalus arcticensis      ,2,,Hoberg and Measures 1995,,VR,42761,,,,0,0,1,No,,,,Anophryocephalus arcticensis,0,1,0,1,Anophryocephalus arcticensis,yes,valid in papers,,Hoberg and Adams (2000),"Hoberg, E. P., & Adams, A. (2000). 1Biosystematics and National Parasite Collection Unit, United States Department of Agricul ture, Agricultural Research Service, BARC East No. 1 180, 1 0300 Baltimore Avenue, Belts ville, Maryland, USA 20705. 2US Food and Drug Administration, 1 1630 West 20th Street, PO Box 15905, Lenexa, Kansas. SCANDINA VIAN SOCIETY FOR PARASITOLOGY, 1(997), 19.",Helminth,Platyhelminthes,Cestoda,Cyclophyllidea,Tetrabothriidae,
124,Anophryocephalus inuitorum,Anophryocephalus inuitorum,NA,0,,,,-1,3,,VR,42761,,,,,Anophryocephalus inuitorum      ,13,Anophryocephalus inuitorum      ,2,,Hoberg and Measures 1995,,VR,42761,,,,0,0,1,No,,,,Anophryocephalus inuitorum,0,1,0,1,Anophryocephalus inuitorum,yes,valid in papers,,Hoberg and Adams (2000),"Hoberg, E. P., & Adams, A. (2000). 1Biosystematics and National Parasite Collection Unit, United States Department of Agricul ture, Agricultural Research Service, BARC East No. 1 180, 1 0300 Baltimore Avenue, Belts ville, Maryland, USA 20705. 2US Food and Drug Administration, 1 1630 West 20th Street, PO Box 15905, Lenexa, Kansas. SCANDINA VIAN SOCIETY FOR PARASITOLOGY, 1(997), 19.",Helminth,Platyhelminthes,Cestoda,Cyclophyllidea,Tetrabothriidae,
125,Anophryocephalus ochotensis,Anophryocephalus ochotensis,NA,0,,-1,1,-1,3,,VR,42761,,,,,Anophryocephalus ochotensis      ,22,Anophryocephalus ochotensis      ,2,helminth (seals),Shults 1986,,VR,42761,,,,0,0,1,No,,,,Anophryocephalus ochotensis,0,1,0,1,Anophryocephalus ochotensis,yes,valid in papers,,Hoberg and Adams (2000),"Hoberg, E. P., & Adams, A. (2000). 1Biosystematics and National Parasite Collection Unit, United States Department of Agricul ture, Agricultural Research Service, BARC East No. 1 180, 1 0300 Baltimore Avenue, Belts ville, Maryland, USA 20705. 2US Food and Drug Administration, 1 1630 West 20th Street, PO Box 15905, Lenexa, Kansas. SCANDINA VIAN SOCIETY FOR PARASITOLOGY, 1(997), 19.",Helminth,Platyhelminthes,Cestoda,Cyclophyllidea,Tetrabothriidae,
126,Anoplocephala gigantea,Anoplocephala gigantea,NA,0,,,,-1,3,,VR,42761,,,,,Anoplocephala gigantea      ,48,Anoplocephala gigantea      ,2,,"Knapp et al., 1997",,VR,42761,,,,0,0,1,No,,,,Anoplocephala gigantea,0,0,0,1,Anoplocephala gigantea,yes,non taxonomy paper - but see book chapter: http://link.springer.com/chapter/10.1007%2F978-3-642-22872-8 24,,Stringer et al. 2014,"Stringer, A. P., Smith, D., Kerley, G. I., & Linklater, W. L. (2014). Reducing sampling error in faecal egg counts from black rhinoceros (Diceros bicornis).International Journal for Parasitology: Parasites and Wildlife,??3(1), 1-5.",Helminth,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,
127,Anoplocephala gorillae,Anoplocephala gorillae,NA,0,,-1,2,-1,3,,VR,42761,,,,,Anoplocephala gorillae      ,72,Anoplocephala gorillae      ,3,gorilla tape worm ,"Kalema-Zikusoka et al., 2005",,VR,42761,,,,0,0,1,No,,,,Anoplocephala gorillae,0,0,0,1,Anoplocephala gorillae,yes,valid in papers,,Kalema-Zikusoka et al. 2005,"Kalema-Zikusoka, G., Rothman, J. M., & Fox, M. T. (2005). Intestinal parasites and bacteria of mountain gorillas (Gorilla beringei beringei) in Bwindi Impenetrable National Park, Uganda.??Primates,??46(1), 59-63.",Helminth,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,
128,Anoplocephala magna,Anoplocephala magna,NA,0,,-1,2,-1,2,,VR,42761,,,,,Anoplocephala magna      ,492,Anoplocephala magna      ,24,equine ,"Meana et al., 2005",,VR,42761,,,,0,0,1,No,,,,Anoplocephala magna,0,0,0,1,Anoplocephala magna,yes,valid name in NCBI,,NCBI 218193,,Helminth,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,
129,Anoplocephala perfoliata,Anoplocephala perfoliata,NA,0,,-1,2,-1,1,,VR,42761,,,,,Anoplocephala perfoliata      ,1410,Anoplocephala perfoliata      ,194,equine tape worm ,Proudman and Trees 1996,NEED,VR,42761,,,,0,0,1,No,,,,Anoplocephala perfoliata,0,0,0,1,Anoplocephala perfoliata,yes,valid name in NCBI,,NCBI 218192,,Helminth,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,
178,Apophallus donicus,Apophallus donicus,NA,0,,1,1,-1,2,,VR,42760,,,,,Apophallus donicus      ,117,Apophallus donicus      ,2,reservoir: snail and fish ,Shimalov and Shimalov 2001,,VR,42760,,,,0,0,1,No,,,,Apophallus donicus,0,0,0,1,Rossicotrema donicum,yes,valid name in NCBI,,NCBI 1124784,,Helminth,Platyhelminthes,Trematoda,Opisthorchiida,Heterophyidae,
180,Apophallus muehlingi,Apophallus muehlingi,NA,0,,,,-1,3,,VR,42760,,,,,Apophallus muehlingi      ,178,Apophallus muehlingi      ,5,,Izvekova and Tyutin 2011,,VR,42760,,,,0,0,1,No,,,,Apophallus muehlingi,0,1,0,1,Apophallus muehlingi,yes,valid name in NCBI,,NCBI 1124784,,Helminth,Platyhelminthes,Trematoda,Opisthorchiida,Heterophyidae,
181,Apophallus venustus,Apophallus venustus,NA,0,,1,2,-1,3,,VR,42760,,,,,Apophallus venustus      ,53,Apophallus venustus      ,0,Reservoir: snail and fish ,Cameron 1945,,VR,42760,,,,0,0,1,No,,,,Apophallus venustus,0,1,0,1,Apophallus venustus,yes,valid in papers,,Ferguson et al. 2012,"Ferguson, J. A., Locke, S. A., Font, W. F., Steinauer, M. L., Marcogliese, D. J., Cojocaru, C. D., & Kent, M. L. (2012). Apophallus microsoma n. sp. from chicks infected with metacercariae from coho salmon (Oncorhynchus kisutch) and review of the taxonomy and pathology of the genus Apophallus (Heterophyidae). The Journal of parasitology, 98(6), 1122-1132.",Helminth,Platyhelminthes,Trematoda,Opisthorchiida,Heterophyidae,
182,Apteragia odocoilei,Apteragia odocoilei,NA,0,,-1,2,-1,3,,VR,42760,,,,,Apteragia odocoilei      ,39,Apteragia odocoilei      ,0,helminth (white tailed deer),"Ditchkoff et al., 2005",,VR,42760,,,,1,0,1,No,,,,Apteragia odocoilei,0,1,0,0,Apteragia odocoilei,yes,valid in papers,,Lichtenfels et al. 1993,"Lichtenfels, J. R., Hoberg, E. P., Pilitt, P. A., & Belem, A. M. G. (1993). A comparison of cuticular ridge patterns and other morphological characters of Mazamastrongylus odocoilei and Mazamastrongylus pursglovei (Nematoda: Trichostrongyloidea) from white-tailed deer Odocoileus virginianus. Systematic Parasitology, 24(1), 1-15.",Helminth,Nematoda,Secernentea,Strongylida,Trichostrongylidae,
183,Apteragia pursglovei,Apteragia pursglovei,NA,0,,,,-1,3,,VR,42760,,,,,Apteragia pursglovei      ,23,Apteragia pursglovei      ,1,,"Ditchkoff et al., 2005",,VR,42760,,,,1,0,1,No,,,,Apteragia pursglovei,0,1,0,0,Apteragia pursglovei,yes,valid in papers,,Lichtenfels et al. 1993,"Lichtenfels, J. R., Hoberg, E. P., Pilitt, P. A., & Belem, A. M. G. (1993). A comparison of cuticular ridge patterns and other morphological characters of Mazamastrongylus odocoilei and Mazamastrongylus pursglovei (Nematoda: Trichostrongyloidea) from white-tailed deer Odocoileus virginianus. Systematic Parasitology, 24(1), 1-15.",Helminth,Nematoda,Secernentea,Strongylida,Trichostrongylidae,
